Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,State of the Building_Numeric,PEB_Numeric,Province_Numeric,Type of Property_Numeric,Subtype of Property_Grouped,Subtype of Property_Grouped_Numeric
Hamont-achel,3930,Province of Limburg,House,house,735000.0,3.0,547,1,0,1,0,0.0,1,1313.0,1,2298.0,4.0,C,317.0,Good,4,3,11,1,Houses,2
Borgerhout,2140,Province of Antwerp,House,house,529000.0,6.0,235,0,0,0,0,0.0,1,24.0,0,96.0,2.0,C,226.0,Good,4,3,2,1,Houses,2
Leuven,3000,Province of Flemish Brabant,Apartment,kot,220000.0,1.0,13,0,1,0,0,0.0,0,0.0,0,0.0,0.0,A,93.0,Just renovated,5,1,5,0,Apartments,1
Evergem,9940,Province of East Flanders,House,house,259000.0,3.0,163,0,0,0,1,22.0,0,0.0,0,332.0,3.0,F,589.0,To renovate,2,6,3,1,Houses,2
Antwerpen,2018,Province of Antwerp,House,town-house,695000.0,4.0,273,0,0,0,1,18.0,0,0.0,0,82.0,2.0,C,267.0,To renovate,2,3,2,1,Houses,2
Ondenval-waimes,4950,Province of Liège,House,country-cottage,550000.0,5.0,257,1,1,0,1,22.0,1,2246.0,0,2611.0,4.0,D,329.0,Good,4,4,6,1,Houses,2
Fleron,4620,Province of Liège,House,mixed-use-building,550000.0,4.0,421,0,0,0,0,0.0,1,80.0,0,384.0,2.0,C,317.0,Good,4,3,6,1,Specialized Properties,3
Vosselaar,2350,Province of Antwerp,House,house,745000.0,5.0,441,1,0,1,0,0.0,0,0.0,0,1912.0,4.0,D,379.0,Not specified,7,4,2,1,Houses,2
Beveren,9120,Province of East Flanders,Apartment,apartment,220000.0,2.0,99,0,0,0,0,0.0,0,0.0,0,0.0,2.0,C,317.0,To renovate,2,3,3,0,Apartments,1
Puurs,2870,Province of Antwerp,House,house,700000.0,0.0,3000,0,0,0,0,0.0,0,0.0,0,3000.0,4.0,Not specified,317.0,To restore,1,8,2,1,Houses,2
Antwerpen,2018,Province of Antwerp,Apartment,apartment,195000.0,1.0,70,0,0,0,0,0.0,0,0.0,0,0.0,0.0,C,214.0,To renovate,2,3,2,0,Apartments,1
Oosterzele,9860,Province of East Flanders,House,house,265000.0,3.0,119,0,0,0,0,0.0,0,0.0,0,181.0,0.0,F,872.0,To renovate,2,6,3,1,Houses,2
Leuven,3000,Province of Flemish Brabant,Apartment,kot,219000.0,1.0,34,0,1,0,0,0.0,0,0.0,0,0.0,0.0,A,77.0,Good,4,1,5,0,Apartments,1
Ixelles,1050,Brussels-Capital Region,Apartment,apartment,269000.0,1.0,57,1,0,0,0,0.0,0,0.0,0,0.0,2.0,G,484.0,Good,4,7,1,0,Apartments,1
